Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
225400,4.675,33,1660,277,741,261,37.99,-122.12,7240.621545,559565.2634,738785.399,75471.69468,36378.953
186100,4.0154,12,6915,1639,2940,1468,37.98,-122.07,7877.306349,555918.4962,735171.7907,73341.01045,39120.46098
189600,4.2917,37,1784,313,788,304,37.96,-122.06,10235.18075,553643.7875,732888.4781,70982.34839,38602.90668
266000,6.0859,21,9135,1534,3748,1502,37.96,-122.08,9981.167088,554759.6578,733987.4892,71367.80407,37132.5288
186400,4.7386,36,2213,386,950,370,37.95,-122.06,11320.53503,552785.5882,732021.664,69895.09497,38020.56164
190000,4.5893,39,2199,388,1025,385,37.95,-122.07,11172.2321,553344.014,732571.5379,70085.57365,37270.6993
205100,3.5057,36,2639,488,1111,476,37.94,-122.07,12275.45382,552487.6586,731706.1072,69002.13491,36700.80239
87500,2.8043,16,2445,469,721,474,37.99,-122.06,7029.177288,556223.7644,735492.86,74248.49746,40483.14881
136400,3.7333,36,2476,472,1213,393,38,-122.05,6385.387701,556532.682,735816.7243,75171.83262,41849.22883
178300,5.7295,25,3577,581,1753,593,38,-122.03,7423.791187,555429.6835,734727.72,74868.2901,43265.44412
202800,5.1021,27,2491,428,1171,431,37.97,-122,11665.46758,551182.5489,730480.2945,71181.10705,43684.02034
240200,5.7512,26,1977,264,817,273,37.97,-121.97,13362.89223,549534.6972,728852.1391,70880.05563,45984.81466
184100,4.6071,30,3320,589,1470,543,37.97,-121.99,12254.13986,550632.3462,729936.8558,71069.99416,44446.85135
179000,3.7,32,3364,666,1980,678,37.96,-122,12530.48205,550317.8257,729608.4972,70079.17232,43142.2062
167800,3.0859,13,3216,765,1627,715,37.95,-121.96,15380.42754,547251.1794,726562.1459,68585.46099,45770.25164
151100,3.25,45,1613,338,865,336,37.97,-122.03,10151.43039,552838.6365,732114.9127,71578.4042,41422.84491
151000,3.1968,39,1323,245,705,261,37.97,-122.04,9752.501532,553392.4831,732661.2141,71731.95927,40679.06926
159800,3.8456,35,2190,384,1154,401,37.96,-122.05,10470.41367,553087.1985,732340.0343,70805.25613,39346.8666
184900,4.45,15,7803,1603,2957,1546,37.93,-122.05,13683.45368,550512.4933,729739.4067,67537.2802,37706.15593
226000,5.0255,45,1544,244,614,238,37.93,-122.07,13380.12051,551632.213,730841.3406,67919.6177,36156.12822
283900,6.2924,39,3018,501,1223,489,37.89,-122.08,17757.19646,548784.6041,727943.8975,63821.30622,33440.98285
397500,6.7192,30,2296,329,847,322,37.87,-122.05,20229.15882,545387.7678,724556.1439,61023.36631,35152.20375
310600,4.2625,37,1677,269,689,283,37.89,-122.05,18037.00171,547092.3126,726281.2104,63191.01304,35886.09284
275800,5.6986,20,5467,1044,2310,963,37.9,-122.04,17132.16937,547384.6258,726592.6716,64092.60069,37110.23027
266000,6.2631,19,5721,837,2653,813,37.74,-121.95,22239.64384,528673.5972,707803.3564,45260.1987,42480.20006
269800,6.2781,17,2559,370,1238,377,37.75,-121.94,23597.93446,528955.9813,708108.0382,46278.19207,43270.29393
343500,6.8806,16,3326,419,1272,402,37.74,-121.93,23709.64443,527539.0684,706690.6145,45098.54421,44231.75218
359100,5.5921,18,2903,387,1127,372,37.81,-121.98,22987.69441,536325.8153,715501.4372,53318.0323,39857.61147
425100,9.7037,8,3865,463,1548,432,37.76,-121.96,22894.69979,530939.4962,710081.3462,47572.28288,41456.31194
350000,15.0001,2,200,20,25,9,37.74,-121.96,21520.97132,529242.2455,708360.814,45366.52193,41604.63543
443800,7.7072,34,1879,265,729,263,37.84,-122.02,21445.98098,541139.4167,720306.3395,57204.75504,36871.97042
359300,7.6518,11,6200,907,2286,896,37.8,-122.02,19315.50769,537741.4101,716863.7477,52850.64897,36259.08625
287300,7.3732,16,3031,438,1087,421,37.88,-122.02,19745.62423,544552.5124,723759.8437,61572.25559,37999.05843
398200,7.5139,29,7479,977,2744,943,37.84,-121.96,25820.61935,537766.8122,716991.0531,56409.57106,42050.67588
500001,9.5271,16,7681,946,2777,908,37.84,-122,22923.46671,540011.5631,719198.3723,56886.36229,38595.42473
351300,8.003,18,9117,1248,3280,1167,37.82,-121.98,23428.38857,537178.7192,716364.7011,54418.59365,39982.01992
382200,8.039,20,10212,1424,4083,1374,37.93,-122.1,13350.41302,553318.4963,732499.5359,68573.98433,33868.80147
367100,7.2315,35,3701,528,1511,517,37.88,-122.1,18895.24317,549069.2774,728196.6589,63233.24969,31395.27255
404300,8.1586,36,3359,493,1298,483,37.86,-122.16,14236.91306,550812.3873,729846.1361,62887.9225,25679.21572
354200,4.9,36,542,119,231,121,37.88,-122.18,13591.14879,553642.6618,732678.3392,65613.01321,25022.70455
399700,8.9571,33,4449,636,1684,617,37.86,-122.18,12798.83615,551964.7679,730973.6385,63567.92758,24057.74497
475000,2.4444,20,95,13,31,15,37.88,-122.22,10124.55203,555950.1494,734935.7466,67049.42329,21986.33317
367500,7.3195,37,3881,560,1315,517,37.89,-122.2,11732.44884,555633.1808,734657.6049,67327.79788,24064.11083
366700,7.3445,13,2085,292,852,264,37.89,-121.93,21018.39292,540404.8004,719694.7349,61745.74983,45876.92048
288000,7.1978,18,2541,355,986,346,37.95,-121.94,14836.12986,546155.3173,725478.8835,68456.5486,47363.29988
253600,5.9346,27,1469,216,578,219,37.94,-121.95,16190.18285,545835.1248,725146.0398,67406.48732,46111.58413
150200,3.9345,41,1631,282,752,288,38.03,-122.26,3943.560184,570863.1645,749989.7736,83707.0663,32192.72242
174200,5.0969,4,7999,1611,3596,1396,38.06,-122.32,5878.796266,576813.2836,755910.4062,88890.66354,33269.63271
162000,4.4394,34,1712,317,956,341,38,-122.3,1491.607784,570617.8039,749664.952,82115.884,27648.49668
193300,4.375,28,3801,622,1654,571,37.99,-122.28,3567.101792,568629.8366,747687.6458,80355.91179,27446.92032
184800,5.0473,5,3846,786,2053,716,38.02,-122.26,4406.566009,570017.1922,749132.6502,82683.16488,31214.20161
246400,5.2375,6,678,104,318,91,38,-122.26,4823.634464,568327.989,747420.4081,80642.35791,29285.74681
209800,5.1046,27,2133,347,850,350,37.98,-122.29,3708.335267,568364.1123,747397.5409,79733.06012,26050.58948
194200,4.3958,38,2172,403,945,384,37.94,-122.31,5247.804437,566174.7902,745128.759,76593.05897,21312.63726
161000,3.9722,29,2347,464,1135,490,37.97,-122.32,4180.612445,569257.4906,748240.8173,79943.42783,23886.3812
110000,6.0426,19,392,109,287,81,37.97,-122.34,4118.761687,570416.292,749374.0861,80786.22923,23223.72515
113800,3.2188,31,2892,685,2104,641,37.97,-122.35,3278.389984,570996.9321,749941.7186,81218.66433,22935.64621
120800,2.1915,22,2099,569,1135,509,37.95,-122.33,4465.667222,568169.5415,747111.6832,78418.35896,21498.76814
140400,2.8833,45,1226,279,590,260,37.94,-122.33,3749.153542,567337.5022,746265.0016,77452.65432,20491.82545
135800,3.0313,45,1585,329,981,373,37.95,-122.33,4465.667222,568169.5415,747111.6832,78418.35896,21498.76814
111700,3.2833,38,1340,298,766,241,37.95,-122.34,3905.6158,568751.2093,747680.0853,78854.06894,21150.75765
143900,3.125,42,2206,451,989,444,37.94,-122.34,3060.582518,567920.0991,746834.1225,77893.82589,20126.36108
86100,1.7727,44,1891,449,1047,432,37.93,-122.36,1090.919674,568259.472,747130.5273,77853.35496,18444.2762
87000,1.9375,42,1796,389,1107,372,37.93,-122.36,1090.919674,568259.472,747130.5273,77853.35496,18444.2762
104200,1.3929,52,215,41,126,43,37.92,-122.36,498.5107781,567432.1491,746287.3982,76912.89655,17402.57172
122400,2.2301,26,3887,779,2512,740,37.92,-122.33,2621.670203,565676.3016,744573.7222,75533.31342,18514.02847
178400,3.6417,43,2549,511,1060,528,37.91,-122.31,2541.133847,563678.8366,742588.5585,73686.52385,18499.54848
401000,6.516,32,1736,234,602,231,37.92,-122.29,4616.072966,563346.7397,742298.1449,73800.94845,20434.84516
195800,2.5,12,1895,600,983,519,37.92,-122.31,3318.412627,564509.8596,743434.5965,74651.38037,19418.86123
223000,3.4091,41,2053,435,873,415,37.9,-122.3,2958.944293,562264.9307,741173.212,72285.09327,18147.36765
68400,2.5795,17,3461,722,1947,647,41.77,-124.21,3495.904558,1004574.813,1183452.671,531546.9901,469590.5495
71100,2.0202,22,2920,636,1382,499,41.54,-123.92,15497.49459,970005.5348,1148802.212,498833.1589,437705.4061
109700,1.9018,25,1339,328,503,219,38.94,-119.98,166578.3892,565187.3624,737177.1273,244577.2004,249976.4974
99300,4.0417,23,1564,298,339,147,38.94,-119.98,166578.3892,565187.3624,737177.1273,244577.2004,249976.4974
104200,2.675,25,1758,357,689,278,38.92,-120.01,163173.5894,563799.0372,736038.5686,241176.521,246612.7311
87500,2.875,22,2465,539,381,146,39.06,-120.13,164878.1798,581727.8423,754320.9989,245969.4241,246251.7005
172200,4.8311,7,4341,716,1978,682,38.91,-120.97,106564.1833,592526.7871,769452.7134,192797.0376,179434.8627
187900,5.4413,8,4913,744,2005,723,38.67,-120.99,82711.59894,569244.603,746745.9479,168165.7585,160556.1532
186600,5.584,13,3432,516,1286,470,38.67,-120.98,83206.7064,568858.936,746329.2729,168579.7264,161242.0446
202800,4.3981,12,3247,579,1459,517,38.79,-120.95,95786.43304,579723.365,756842.2438,181585.6455,171695.5223
196300,5.5111,9,2229,355,788,341,38.77,-120.93,94843.84659,576970.1325,754065.1616,180424.5924,171583.7756
90300,2.5045,15,1461,415,924,356,36.74,-119.78,175281.8901,329702.2174,507402.3995,198891.9829,261286.7288
43800,1.8967,52,610,128,406,122,36.74,-119.82,172538.2601,331249.1218,509134.9212,195547.9211,258112.8689
49500,1.3922,23,1731,363,1210,341,36.7,-119.79,171500.7981,326079.5996,503947.7028,199632.0014,262540.4899
34400,2.1458,22,354,121,530,115,36.72,-119.78,173701.5706,327695.205,505456.5181,199666.4253,262300.4654
49800,1.4577,38,1481,353,1543,372,36.71,-119.75,174825.8212,325543.0681,503190.51,202560.9253,265186.6184
45500,1.4419,39,1553,363,1449,341,36.73,-119.76,175748.7141,327934.7326,505568.8081,200948.1769,263379.3155
93100,4.7463,6,1926,303,965,316,36.75,-119.69,181761.6451,327357.3773,504560.9839,206075.1569,267972.5778
62500,1.5449,17,2438,598,1563,538,36.74,-119.69,180991.98,326342.0907,503579.3279,206441.2579,268461.3266
121600,3.5128,23,2097,385,911,405,36.74,-119.69,180991.98,326342.0907,503579.3279,206441.2579,268461.3266
151400,5.2608,19,3972,585,1586,560,36.73,-119.71,178935.6146,326061.9119,503440.4588,205135.0211,267358.2942
